Date, Time, mavlink_terrain_report_t.current_height, mavlink_gps_raw_int_t.lat, mavlink_gps_raw_int_t.lon, mavlink_attitude_t.yaw, mavlink_attitude_t.roll, mavlink_attitude_t.pitch
2018-09-25, 3:37:37 , -5.40325, 492573325, -1232431034, 1.629227, -0.003444783, -0.01493301
2018-09-25, 3:37:37 , -5.40325, 492573325, -1232431034, 1.63027, -0.002964007, -0.01441323
2018-09-25, 3:37:38 , -5.40325, 492573303, -1232430990, 1.63027, -0.002964007, -0.01441323
2018-09-25, 3:37:38 , -5.40325, 492573303, -1232430990, 1.631214, -0.002053134, -0.01520924
2018-09-25, 3:37:38 , -5.423532, 492573303, -1232430990, 1.631214, -0.002053134, -0.01520924
2018-09-25, 3:37:38 , -5.423532, 492573303, -1232430990, 1.632135, -0.001788747, -0.01521268
2018-09-25, 3:37:38 , -5.423532, 492573285, -1232430977, 1.632135, -0.001788747, -0.01521268
2018-09-25, 3:37:39 , -5.453784, 492573285, -1232430977, 1.632135, -0.001788747, -0.01521268
2018-09-25, 3:37:39 , -5.453784, 492573285, -1232430977, 1.632831, -0.001907259, -0.01472421
2018-09-25, 3:37:39 , -5.453784, 492573304, -1232430973, 1.632831, -0.001907259, -0.01472421
2018-09-25, 3:37:40 , -5.434455, 492573304, -1232430973, 1.632831, -0.001907259, -0.01472421
2018-09-25, 3:37:40 , -5.434455, 492573304, -1232430973, 1.633708, -0.00272208, -0.01410205
2018-09-25, 3:37:40 , -5.434455, 492573304, -1232430973, 1.634356, -0.003012743, -0.01388366
2018-09-25, 3:37:40 , -5.434455, 492573318, -1232430965, 1.634356, -0.003012743, -0.01388366
2018-09-25, 3:37:40 , -5.495394, 492573318, -1232430965, 1.634356, -0.003012743, -0.01388366
2018-09-25, 3:37:40 , -5.495394, 492573318, -1232430965, 1.634942, -0.002458397, -0.01415014
2018-09-25, 3:37:41 , -5.495394, 492573273, -1232430903, 1.634942, -0.002458397, -0.01415014
2018-09-25, 3:37:41 , -5.514944, 492573273, -1232430903, 1.634942, -0.002458397, -0.01415014
2018-09-25, 3:37:41 , -5.514944, 492573273, -1232430903, 1.635426, -0.001365887, -0.01457403
2018-09-25, 3:37:41 , -5.514944, 492573273, -1232430903, 1.636031, -0.0009720474, -0.01454796
2018-09-25, 3:37:42 , -5.514944, 492573254, -1232430896, 1.636031, -0.0009720474, -0.01454796
2018-09-25, 3:37:42 , -5.52412, 492573254, -1232430896, 1.636031, -0.0009720474, -0.01454796
2018-09-25, 3:37:42 , -5.52412, 492573254, -1232430896, 1.636299, -0.001218236, -0.01414135
2018-09-25, 3:37:43 , -5.52412, 492573263, -1232430924, 1.636299, -0.001218236, -0.01414135
2018-09-25, 3:37:43 , -5.52412, 492573263, -1232430924, 1.636817, -0.001770697, -0.01344854
2018-09-25, 3:37:43 , -5.553944, 492573263, -1232430924, 1.636817, -0.001770697, -0.01344854
2018-09-25, 3:37:43 , -5.553944, 492573263, -1232430924, 1.637089, -0.002259361, -0.01283593
2018-09-25, 3:37:43 , -5.553944, 492573260, -1232430917, 1.637089, -0.002259361, -0.01283593
2018-09-25, 3:37:44 , -5.603876, 492573260, -1232430917, 1.637089, -0.002259361, -0.01283593
2018-09-25, 3:37:44 , -5.603876, 492573260, -1232430917, 1.637366, -0.003026006, -0.01204669
2018-09-25, 3:37:44 , -5.603876, 492573260, -1232430917, 1.637683, -0.003553045, -0.01142133
2018-09-25, 3:37:44 , -5.603876, 492573240, -1232430892, 1.637683, -0.003553045, -0.01142133
2018-09-25, 3:37:44 , -5.683753, 492573240, -1232430892, 1.637683, -0.003553045, -0.01142133
2018-09-25, 3:37:44 , -5.683753, 492573240, -1232430892, 1.637942, -0.002714733, -0.01193378
2018-09-25, 3:37:44 , -5.683753, 492573201, -1232430861, 1.637942, -0.002714733, -0.01193378
2018-09-25, 3:37:45 , -5.683753, 492573201, -1232430861, 1.638326, -0.001400562, -0.01281792
2018-09-25, 3:37:45 , -5.771968, 492573201, -1232430861, 1.638326, -0.001400562, -0.01281792
2018-09-25, 3:37:45 , -5.771968, 492573201, -1232430861, 1.63873, -0.001154958, -0.01272193
2018-09-25, 3:37:45 , -5.771968, 492573202, -1232430866, 1.63873, -0.001154958, -0.01272193
2018-09-25, 3:37:45 , -5.810709, 492573202, -1232430866, 1.63873, -0.001154958, -0.01272193
2018-09-25, 3:37:46 , -5.810709, 492573202, -1232430866, 1.639031, -0.001298008, -0.01240198
2018-09-25, 3:37:46 , -5.810709, 492573202, -1232430866, 1.639338, -0.001438946, -0.01216576
2018-09-25, 3:37:46 , -5.810709, 492573213, -1232430866, 1.639338, -0.001438946, -0.01216576
2018-09-25, 3:37:46 , -5.869992, 492573213, -1232430866, 1.639338, -0.001438946, -0.01216576
2018-09-25, 3:37:46 , -5.869992, 492573213, -1232430866, 1.63946, -0.00169179, -0.01217457
2018-09-25, 3:37:46 , -5.869992, 492573213, -1232430866, 1.639829, -0.001848605, -0.01196613
2018-09-25, 3:37:46 , -5.869992, 492573209, -1232430863, 1.639829, -0.001848605, -0.01196613
2018-09-25, 3:37:47 , -5.919481, 492573209, -1232430863, 1.639829, -0.001848605, -0.01196613
2018-09-25, 3:37:47 , -5.919481, 492573209, -1232430863, 1.640192, -0.00216487, -0.01172282
2018-09-25, 3:37:47 , -5.919481, 492573200, -1232430840, 1.640192, -0.00216487, -0.01172282
2018-09-25, 3:37:47 , -5.948878, 492573200, -1232430840, 1.640192, -0.00216487, -0.01172282
2018-09-25, 3:37:47 , -5.948878, 492573200, -1232430840, 1.640355, -0.002072894, -0.01189188
2018-09-25, 3:37:47 , -5.948878, 492573200, -1232430840, 1.640414, -0.002169996, -0.01185536
2018-09-25, 3:37:48 , -5.948878, 492573195, -1232430844, 1.640414, -0.002169996, -0.01185536
