X (meters),Y (meters),Z (meters)
2064844.6153554865,733216.0714180308,5987245.504341077
2064846.0115483657,733216.8768438934,5987244.9202856105
2064847.4312043898,733217.6130891619,5987244.336612457
2064848.803082208,733218.486988625,5987243.752556146
2064849.4523573262,733219.0271885948,5987243.460527832
2064851.6197802115,733220.0293696134,5987242.584442251
2064853.016099479,733220.8344367131,5987242.000384671
2064853.6653739715,733221.3746374407,5987241.70835572
2064855.8084811072,733222.4452926831,5987240.832268237
2064857.228986042,733223.1822479106,5987240.248209384
2064857.8782599082,733223.722449396,5987239.9561798
2064859.2491561612,733224.5960041435,5987239.372503052
2064860.6697882814,733225.3325997981,5987238.7884431435
2064862.0659774593,733226.138029498,5987238.204382812
2064863.4621663152,733226.9434595316,5987237.620322055
2064864.8583548486,733227.7488898989,5987237.036260877
2064866.2789858119,733228.4854866542,5987236.452199275
2064867.6751168987,733229.2908974624,5987235.867973569
2064869.0713044936,733230.0963287842,5987235.283911119
2064870.4665128486,733230.9014128281,5987234.70023099
2064871.8871426561,733231.6380106849,5987234.116167693
2064872.5364142694,733232.1782148979,5987233.824135888
2064874.679515648,733233.248875572,5987232.948039834
2064875.328786833,733233.7890803049,5987232.656007605
2064876.7494724134,733234.5256993944,5987232.07210651
2064878.8925725392,733235.5963612194,5987231.196008552
2064879.5174000915,733236.2054010979,5987230.903975689
2064880.9380279572,733236.9420008687,5987230.319909642
2064882.3332335772,733237.7470877483,5987229.736225917
2064883.7294177928,733238.5525225739,5987229.152159025
2064885.1256016865,733239.3579577337,5987228.568091711
2064886.5462283962,733240.0945586055,5987227.984023972
2064887.9424116742,733240.8999943864,5987227.399955809
2064889.3385946294,733241.7054305006,5987226.815887226
2064889.987863561,733242.2456379615,5987226.523852775
2064892.1554028161,733243.2474689218,5987225.647748786
2064893.5506059173,733244.0525583777,5987225.064061679
2064894.1754309356,733244.6616014728,5987224.772026591
2064896.3429689847,733245.6634335165,5987223.8959207
2064896.9922368613,733246.2036422546,5987223.6038851915
2064898.3884176968,733247.0090805843,5987223.019813856
2064900.531511171,733248.0797487274,5987222.143706058
2064901.205221824,733248.5511231354,5987221.851669915
2064902.6014017216,733249.3565624198,5987221.26759731
2064903.9975812968,733250.1620020379,5987220.683524282
2064905.3927816348,733250.9670943754,5987220.099833579
2064906.8134040912,733251.7036993637,5987219.515759704
2064908.2095827276,733252.5091399364,5987218.931685406
2064909.6057610423,733253.314580843,5987218.347610686
2064911.0019390348,733254.1200220828,5987217.763535542
2064911.6756482797,733254.5913980901,5987217.47149781
2064913.8187377132,733255.6620700342,5987216.595383985
2064915.190471083,733256.5363478058,5987216.011307571
2064915.8641797649,733257.007724453,5987215.719269206
2064917.2593773669,733257.8128196256,5987215.135574908
2064918.6555535637,733258.618262748,5987214.551497436
2064920.0517294377,733259.4237062035,5987213.967419541
2064921.4723487962,733260.1603142073,5987213.383341224
2064922.8685240531,733260.9657582837,5987212.799262483
2064924.2646989878,733261.7712026937,5987212.215183318
2064925.6608736007,733262.5766474378,5987211.63110373
2064927.081491805,733263.3132565432,5987211.047023719
2064928.476686887,733264.1183542919,5987210.463326039
2064929.8728605611,733264.9237999902,5987209.879245181
2064930.522180182,733265.464035139,5987209.5873684
2064932.6652638204,733266.5347125856,5987208.711246002
2064933.3145261367,733267.0749280573,5987208.419204993
2064934.7106986311,733267.8803750167,5987207.835122655
2064936.8782250779,733268.8822173864,5987206.958998353
2064937.5274867688,733269.4224336159,5987206.66695671
2064938.9236583237,733270.2278815301,5987206.082873101
2064941.065760512,733271.2982137343,5987205.207129651
2064941.7394657522,733271.7695942819,5987204.91508737
2064943.1356363685,733272.5750431505,5987204.331002492
2064944.5073055404,733273.4493087104,5987203.746753388
2064945.9279197606,733274.1859216922,5987203.162667665
2064947.324089412,733274.9913715621,5987202.578581518
2064947.997793792,733275.4627530919,5987202.286538287
2064950.1164277473,733276.6022723026,5987201.410407955
2064951.5360619018,733277.3385387685,5987200.826703295
2064952.185321339,733277.8787577257,5987200.5346594285
2064954.3283983597,733278.9494414182,5987199.6585271945
2064954.9776573677,733279.4896608948,5987199.366482902
2064956.398269375,733280.2262760305,5987198.782394007
2064957.7944366133,733281.0317284034,5987198.198304685
2064959.1906035282,733281.8371811096,5987197.614214942
2064960.586770121,733282.6426341493,5987197.030124774
2064961.982936392,733283.448087523,5987196.446034186
2064963.4025680393,733284.1843564288,5987195.86232593
2064964.774417041,733285.0582872485,5987195.278234494
2064966.1948990254,733285.7952647512,5987194.694142634
2064967.5910640357,733286.600719413,5987194.110050352
2064969.0116734372,733287.3373370382,5987193.525957647
2064969.6366134626,733287.9460362082,5987193.233911135
2064971.0570943905,733288.6830147643,5987192.649817793
2064973.2001656524,733289.7537038878,5987191.77367699
2064973.8494217817,733290.2939268504,5987191.481629841
2064975.24473407,733291.0986753688,5987190.897917992
2064977.3878040449,733292.1693657148,5987190.021775284
2064978.061376437,733292.6411121915,5987189.729727505
2064979.4332217788,733293.5150470013,5987189.145631623
2064980.8537006641,733294.2520275218,5987188.561535321
2064982.2499902786,733295.0571252799,5987187.977438595
2064983.670468598,733295.7941063277,5987187.393341445
2064984.2954060906,733296.402808712,5987187.101292711
2064986.4618113958,733297.4046766148,5987186.225528642
2064987.8580997505,733298.2097756602,5987185.641430223
2064988.5073536297,733298.7500013516,5987185.349380853
2064990.6504195267,733299.8206955693,5987184.473232114
2064991.3239901345,733300.2924440744,5987184.181182323
2064992.7201493504,733301.0979047426,5987183.597082422
2064994.8633419808,733302.1682397025,5987182.720931779
2064995.5125948028,733302.7084666704,5987182.428881352
2064996.9087530538,733303.5139283397,5987181.844780184
2064998.328249368,733304.2505647846,5987181.261061356
2064999.7000896847,733305.1245050586,5987180.676959341
2065001.1206922997,733305.861129288,5987180.092856902
2065002.516849291,733306.6665922458,5987179.508754038
2065003.9373233547,733307.4035774135,5987178.924650754
2065005.3091623054,733308.2775191618,5987178.340547045
2065005.982858927,733308.7489094973,5987178.048495032
2065008.1259194945,733309.8196087383,5987177.172338358
2065009.5210959972,733310.6247256964,5987176.588616148
2065010.1703465665,733311.1649553925,5987176.296563501
2065012.3134058472,733312.2356558564,5987175.420404923
2065013.7340058559,733312.9722825757,5987174.836298674
2065014.358810214,733313.5813519121,5987174.544245393
2065015.7794097331,733314.3179791572,5987173.96013851
2065017.175563343,733315.1234456183,5987173.376031204
2065018.5961622954,733315.8600733902,5987172.791923475
2065019.967869598,733316.7343795418,5987172.207815322
2065021.3630433388,733317.5394993819,5987171.624089518
2065022.7836414056,733318.2761280149,5987171.039980519
2065024.1797934338,733319.0815960981,5987170.455871099
2065025.5759451396,733319.887064515,5987169.871761254
2065026.9720965233,733320.6925332653,5987169.287650985
2065028.392750314,733321.4291831985,5987168.703704097
2065029.0419980045,733321.9694163803,5987168.411648592
2065031.1850515264,733323.0401222755,5987167.535481446
2065031.8333198836,733323.5800083532,5987167.243808292
2065033.25391574,733324.3166391407,5987166.659696118
2065035.372522029,733325.4561857705,5987165.783527067
2065036.0462146457,733325.9275806459,5987165.491470505
2065037.4423636154,733326.733051899,5987164.907357063
2065038.8385122635,733327.538523486,5987164.323243198
2065040.2346605891,733328.3439954065,5987163.739128909
2065041.6308085949,733329.1494676614,5987163.155014198
2065042.3045003507,733329.620863519,5987162.862956684
2065044.4465708926,733330.6912256619,5987161.987166282
2065045.8427179595,733331.4966988714,5987161.403050301
2065046.491962967,733332.0369353,5987161.110992151
2065048.6594573604,733333.0388062644,5987160.234817069
2065050.0311572237,733333.9131204999,5987159.650699819
2065050.7048478692,733334.3845176147,5987159.358641035
2065052.8478947738,733335.4552297558,5987158.482464049
2065053.52158506,733335.926627275,5987158.190404842
2065054.8923047732,733336.8005952624,5987157.606668888
2065056.2884493978,733337.6060710204,5987157.0225497335
2065057.7090401135,733338.342706785,5987156.438430156
2065059.1051841215,733339.148183164,5987155.854310153
2065060.501327807,733339.9536598766,5987155.2701897295
2065061.8974711702,733340.7591369229,5987154.686068881
2065063.3180038517,733341.49575359,5987154.101783808
2065064.714146598,733342.3012312572,5987153.5176621135
2065066.1102890228,733343.1067092579,5987152.933539998
2065067.5054522264,733343.9118399672,5987152.349800237
2065068.1546939265,733344.4520804015,5987152.057738809
2065069.5508354928,733345.2575593293,5987151.473615633
2065071.6938766032,733346.3282769728,5987150.597430079
2065072.367564356,733346.799677371,5987150.305368014
2065073.763704983,733347.6051572536,5987149.721243569
2065075.1598452888,733348.4106374698,5987149.137118703
2065076.5559852717,733349.2161180197,5987148.552993411
2065077.9755928363,733349.952410275,5987147.969250479
2065079.3717322028,733350.7578914457,5987147.385124342
2065080.7678712478,733351.5633729501,5987146.8009977825
2065082.1640099706,733352.3688547884,5987146.2168708
2065083.5845952767,733353.1054957703,5987145.632743392
2065084.9807333827,733353.9109782295,5987145.048615564
2065086.3768711693,733354.7164610231,5987144.46448731
2065087.0261099907,733355.2567049429,5987144.172423024
2065089.1691457715,733356.3274276098,5987143.296229533
2065089.8174052667,733356.8673244222,5987143.004547609
2065091.213541871,733357.6728084759,5987142.420417877
2065093.381023455,733358.6746908491,5987141.544222482
2065094.0302612216,733359.2149360463,5987141.252157138
2065095.4263968864,733360.0204210544,5987140.668026134
2065096.8225322291,733360.8259063964,5987140.083894707
2065098.2431144372,733361.5625503934,5987139.499762856
2065099.6392491644,733362.3680363566,5987138.915630584
2065101.0100854267,733363.2416563685,5987138.331880675
2065102.4305387542,733363.9786616554,5987137.747747555
2065103.826672516,733364.7841486197,5987137.163614013
2065104.4760366513,733365.3240353579,5987136.8715470815
2065106.619067067,733366.394763119,5987135.995345657
2065108.0395192376,733367.1317695079,5987135.411210845
2065108.688754751,733367.6720174331,5987135.11914328
2065110.8319119115,733368.742385916,5987134.24293995
2065111.4811469966,733369.2826343606,5987133.950871964
2065112.9006192153,733370.0192941746,5987133.36711846
2065114.2967505609,733370.8247836407,5987132.782981742
2065115.66856206,733371.6987552702,5987132.198844602
2065117.0891402867,733372.4354031442,5987131.61470704
2065118.4852706671,733373.2408936112,5987131.030569054
2065119.9057203284,733373.9779024431,5987130.446430644
2065121.277530462,733374.8518755467,5987129.862291811
2065122.698107532,733375.5885245216,5987129.278152556
